№,県番号,地域分類,性別,年齢,年齢階層,性年代,結婚有無,職業分類,bq1,sq1,sq2_1t,sq2_2t,sq3_1,sq3_2t,sq4,q0,q1,q2,q3_1,q3_2,q4_1,q4_2,q5,q6,q6_3t,q7f1,q7f2,q8f1,q8f2,q9_1,q9_2,q9_3,q9_4,q10,q11,q12t,q13_1,q13_2,q13_3,q13_4,q13_5,q14,q14_14t,q15,Q1-Q4表示順,Q7Q8所要時間,回答開始日時,回答日時
102,26,6,1,56,5,5,2,4,4,1,40,11,26,京田辺市,2,3,1,1,1,1,1,1,2,4,,,,3,1,5,5,5,5,7,1,1,2,2,2,2,2,1,,5,q3|q4|q1|q2,46,2022/3/25 16:45,2022/3/25 16:49
103,26,6,1,59,5,5,2,2,3,1,38,3,26,京都市左京区,2,3,1,2,1,1,2,2,1,4,,,,3,3,3,3,2,2,7,1,3,2,1,2,2,2,2,,5,q1|q2|q3|q4,10,2022/3/25 16:46,2022/3/25 16:49
104,34,7,1,51,5,5,1,9,4,1,45,12,34,広島市,2,5,1,3,1,1,1,3,2,1,,,,5,5,1,1,1,1,2,4,1,1,2,2,2,2,12,,1,q3|q4|q1|q2,15,2022/3/25 16:46,2022/3/25 16:49
105,13,3,1,59,5,5,2,1,1,1,37,12,13,小金井市,2,3,3,1,3,1,1,3,1,4,,3,3,,,3,3,2,3,4,1,3,2,2,2,2,2,1,,5,q1|q2|q3|q4,23,2022/3/25 16:44,2022/3/25 16:49
106,23,5,1,56,5,5,2,1,1,1,40,10,23,名古屋市名東区,2,3,3,2,1,1,1,1,1,4,,3,3,,,3,2,3,3,7,1,2,2,1,2,2,2,1,,5,q1|q2|q3|q4,13,2022/3/25 16:45,2022/3/25 16:49
107,13,3,1,52,5,5,2,1,1,1,44,11,13,練馬区,2,3,3,2,3,3,2,2,1,4,,2,2,,,4,3,2,3,5,1,3,2,1,2,2,2,4,,5,q1|q2|q3|q4,27,2022/3/25 16:44,2022/3/25 16:49
108,27,6,1,45,4,4,2,2,1,1,51,4,27,大阪市,2,3,3,3,3,3,3,1,1,4,,3,3,,,3,3,3,3,7,1,3,2,2,2,1,2,6,,13,q1|q2|q3|q4,10,2022/3/25 16:47,2022/3/25 16:49
109,13,3,1,49,4,4,1,8,2,1,47,10,13,文京区,2,3,1,1,1,1,1,1,2,2,,3,2,,,4,2,2,2,9,4,2,1,2,2,2,2,4,,2,q3|q4|q1|q2,7,2022/3/25 16:39,2022/3/25 16:49
110,13,3,1,47,4,4,1,1,3,1,49,9,13,新宿区,2,2,3,1,2,2,1,1,1,4,,,,2,2,2,4,3,5,9,4,0,2,2,2,2,2,1,,5,q1|q2|q3|q4,22,2022/3/25 16:45,2022/3/25 16:49
111,13,3,1,48,4,4,1,6,1,1,49,3,13,西東京市,2,3,3,3,3,3,3,3,2,1,,3,3,,,1,3,4,3,7,4,1,1,2,2,2,2,12,,13,q1|q2|q3|q4,9,2022/3/25 16:46,2022/3/25 16:49
