割付,№,県番号,地域分類,性別,年齢,年齢階層,性年代,q1,q2t,q3_1t,q3_2t,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15a,q15b_1,q15b_2,q15b_3,q15b_4,q15b_5,q15b_6,q15b_7,q15b_8,q15b_9,q15b_10,q15b_11,q16.1,q16.2,q16.3,q16.4,q16.5,q16.6,q16.7,q16.0,q16_6t,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q19,q20,q21,q22,q23t,q24t,q25,q25_10t,q26,q26_8t,q27,q27_10t,q28,q29,q30,q31.1,q31.2,q31.3,q31.4,q31.5,q31.6,q31.7,q31.8,q31.0,q31_7t,q32,q33,q33_7t,回答開始日時,回答日時
Facebook非利用者,67,4,2,1,45,4,4,1,45,50,2,2,,3,3,,3,,5,,4,,1,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,1,0,,3,4,2,4,2,4,2,5,3,4,2,3,3,0,,2,,1,,5,,1,1,2,0,0,0,0,0,1,0,0,0,,4,1,,2020/3/17 18:18,2020/3/17 18:22
Facebook非利用者,68,5,2,1,53,5,5,1,53,41,8,2,,1,3,,4,,5,,3,,3,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,1,0,,2,5,2,5,5,5,3,5,4,5,2,7,1,0,,3,,1,,5,,4,1,1,0,0,0,0,0,0,0,1,0,,5,6,,2020/3/17 18:18,2020/3/17 18:20
Facebook非利用者,69,27,6,1,46,4,4,1,46,48,5,2,,2,2,,5,,5,,4,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,3,1,5,5,3,1,1,3,27,1,5,3,0,,2,,1,,10,ビル管理,,,,,,,,,,,,0,,4,8,,2020/3/17 18:18,2020/3/17 18:22
Facebook利用者,70,28,6,1,57,5,5,1,57,38,1,1,5,1,3,,3,,5,,3,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,2,2,2,4,2,2,2,5,3,28,1,7,1,2,23,4,,2,,4,,2,1,9,0,0,0,0,0,1,0,0,0,,5,6,,2020/3/17 18:18,2020/3/17 18:21
Facebook非利用者,71,26,6,1,51,5,5,1,51,44,1,2,,2,2,,4,,5,,3,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,3,3,3,3,3,3,3,3,26,1,3,1,1,13,4,,1,,6,,3,1,1,0,0,0,0,0,1,0,0,0,,3,3,,2020/3/17 18:18,2020/3/17 18:20
Facebook利用者,72,14,3,1,56,5,5,1,56,39,3,1,4,1,2,,4,,1,3,,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,4,2,5,4,4,4,4,4,14,1,7,1,2,18,4,,2,,3,,1,1,5,1,0,0,0,1,0,0,0,0,,6,5,,2020/3/17 18:18,2020/3/17 18:22
Facebook非利用者,73,12,3,1,50,5,5,1,50,44,10,2,,3,3,,3,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,2,2,2,3,2,5,2,12,2,3,1,2,9,4,,1,,2,,4,1,1,0,0,0,0,0,1,0,0,0,,4,5,,2020/3/17 18:18,2020/3/17 18:23
Facebook非利用者,74,14,3,1,50,5,5,1,50,44,10,2,,3,2,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,3,2,3,4,4,4,1,4,14,2,5,1,2,17,4,,1,,9,,,,,,,,,,,,,0,,4,8,,2020/3/17 18:18,2020/3/17 18:23
Facebook利用者,75,8,3,1,50,5,5,1,50,45,1,1,6,1,1,3,,,1,3,,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,2,4,4,4,3,4,4,8,2,7,1,1,9,4,,1,,2,,4,1,2,0,0,0,0,0,1,0,0,0,,13,1,,2020/3/17 18:18,2020/3/17 18:21
Facebook非利用者,77,23,5,1,45,4,4,1,45,49,10,2,,1,2,,3,,5,,3,,1,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,1,5,1,1,4,5,5,5,4,23,1,7,1,2,8,4,,1,,1,,1,1,2,0,0,0,0,0,1,0,0,0,,13,3,,2020/3/17 18:18,2020/3/17 18:21
