id,exp,antibody,vaccine,coupon,severity,handicap,exp_again,why_norisk,sdist_1,sdist_2,sdist_3,sdist_4,sdist_5,sdist_6,sdist_7,out_antibody,out_vaccine,out_exp,out_coupon,pref,marry,child,working,income,start_time,start_date,nudge,female,age,fb,fb_active,get_coupon,importance,confident,flu_prob,rub_prob,rub_prob_me,wtp_flu,wtp_rub,sdf_f,sdf_u,df_p,df_f,pb,wtp_gain,wtp_loss,int_antibody,sint_antibody,done_antibody,int_vaccine,sint_vaccine,done_vaccine,int_exp,sint_exp,done_exp,int_coupon,sint_coupon,done_coupon
58,1,2,2,3,0,0,0,1,20,5,0,15,10,0,0,4,2,4,4,29,1,2,1,5,"2020/2/7 21:45","2020/2/7 21:54","G",0,57,0,0,0,4,1,0,10,0,3500,-500,.7,0,.9868259,.9990509,1,-30000,35000,0,0,0,1,0,0,0,0,0,0,0,0
60,2,2,2,3,0,0,0,,20,6,2,15,12,10,8,2,2,2,2,16,1,1,1,3,"2020/2/7 21:54","2020/2/7 22:01","G",0,57,1,1,0,4,0,20,50,50,5000,5000,1.333333,0,1.010101,.9990509,0,-47500,47500,1,0,0,1,0,0,1,0,0,1,0,0
61,3,2,3,3,0,1,0,5,20,5,0,15,15,0,0,4,2,2,4,13,1,3,1,3,"2020/2/7 21:49","2020/2/7 22:02","G",0,58,0,0,0,4,1,50,30,0,1500,1500,1.333333,.2666667,.9542896,.9542896,0,-11500,60000,0,0,0,1,0,0,1,0,0,0,0,0
62,3,3,3,3,0,0,0,5,19,14,12,17,17,11,8,4,4,4,4,28,1,2,10,5,"2020/2/7 21:53","2020/2/7 22:03","G",0,59,1,0,0,3,1,0,20,0,-5000,-5000,1.333333,0,.5,.5,0,0,12500,0,0,0,0,0,0,0,0,0,0,0,0
63,1,2,3,3,1,1,0,1,19,15,10,18,17,10,6,3,2,4,4,12,1,2,1,6,"2020/2/7 21:57","2020/2/7 22:06","G",0,59,1,1,0,4,1,10,70,0,-5000,-5000,.7,0,.9990509,.9990509,0,-11500,42500,0,0,0,1,0,0,0,0,0,0,0,0
64,1,2,2,3,0,1,0,,17,14,12,10,8,5,3,3,1,2,2,13,3,0,3,6,"2020/2/7 21:56","2020/2/7 22:06","G",0,57,0,0,0,4,0,10,50,30,3500,1500,0,0,.889205,.9990509,1,-11500,7500,0,0,0,1,1,0,1,0,0,1,0,0
65,2,3,3,3,0,1,0,,20,10,5,18,18,12,5,4,2,3,3,27,1,1,3,9,"2020/2/7 21:56","2020/2/7 22:09","G",0,58,1,1,0,3,0,10,20,10,5000,500,1.1,0,.889205,.889205,0,-1005,3000,0,0,0,1,0,0,0,0,0,0,0,0
66,1,2,2,3,0,1,1,3,18,3,2,17,10,3,1,2,2,2,2,27,1,0,1,5,"2020/2/7 21:59","2020/2/7 22:10","G",0,56,0,0,0,4,1,10,10,0,2500,500,.7,0,.9542896,.9721007,1,-1005,35000,1,0,0,1,0,0,1,0,0,1,0,0
67,2,1,1,1,0,1,1,2,17,5,2,15,12,2,1,1,1,6,1,22,1,0,6,5,"2020/2/7 22:00","2020/2/7 22:10","G",0,57,1,1,0,5,1,20,30,0,5000,5000,0,0,.5,.889205,1,-11500,12500,1,1,0,1,1,0,0,0,1,1,1,0
68,1,1,1,1,0,1,0,2,20,10,0,13,10,5,0,6,6,6,6,22,1,3,4,5,"2020/2/7 22:01","2020/2/7 22:13","G",0,57,0,0,0,5,1,30,0,0,1500,500,.2666667,.2666667,.889205,.889205,0,-6000,7500,0,0,1,0,0,1,0,0,1,0,0,1
69,2,2,3,3,0,1,1,,20,14,10,18,17,5,10,2,2,2,2,27,1,2,4,5,"2020/2/7 22:01","2020/2/7 22:13","G",0,56,0,0,0,4,0,30,50,50,-500,500,1.1,0,.9990509,.9990509,0,-30000,35000,1,0,0,1,0,0,1,0,0,1,0,0
70,2,2,1,3,0,0,0,,19,18,18,14,14,14,9,3,3,3,3,47,3,0,3,3,"2020/2/7 22:03","2020/2/7 22:16","G",0,55,1,1,0,3,0,50,30,20,1500,1500,1.333333,1.333333,.9952725,.9542896,0,-3000,7500,0,0,0,0,0,0,0,0,0,0,0,0
71,3,2,3,3,0,1,1,3,20,10,0,10,10,0,0,2,2,3,3,39,1,2,3,12,"2020/2/7 22:06","2020/2/7 22:17","G",0,57,0,0,0,4,1,10,20,0,5000,500,1.1,0,.9990509,.9990509,0,-47500,47500,1,0,0,1,0,0,0,0,0,0,0,0
